compound_name,chembl_id,found
PROPOXYPHENE HYDROCHLORIDE,CHEMBL1237104,True
Citrate,,False
Creatine,CHEMBL283800,True
C75,,False
D-Erythro-MAPP,,False
Deferoxamine ,,False
Naringenin,CHEMBL9352,True
Fluoranthene,CHEMBL355014,True
Palmitic acid,CHEMBL82293,True
Eicosapentaenoic acid,,False
Trielaidin,,False
Triolein,CHEMBL2110597,True
25-Azacoprostane,,False
"Alpha,beta-Trehalose",,False
Sucrose,CHEMBL253582,True
Ascorbic acid,CHEMBL196,True
ABC99,,False
JW480,,False
PF-04457845,,False
AA26-9,,False
ABL127,,False
JJH254,,False
Darapladib,CHEMBL204021,True
KT109,,False
"3,7-dimethylxanthine",,False
N6-isopentenyladenine,,False
trans-zeatin,,False
cis-zeatin,,False
dihydrozeatin,,False
Menadione,CHEMBL590,True
Zinc Sulfate,CHEMBL1200929,True
"2,4-pyridinedicarboxylic acid",,False
Ritodrine hydrochloride,CHEMBL1367605,True
Vortioxetine,CHEMBL2104993,True
MG624,,False
Ethoxzolamide,CHEMBL18,True
Cardamonin,,False
Imatinib mesylate,CHEMBL1642,True
Thymidine,,False
Uracil,CHEMBL566,True
KML29,,False
KC02,,False
JW651,,False
KT195,,False
Palmostatin B,CHEMBL1673415,True
ABL303,,False
DH376,,False
Carbidopa,CHEMBL1200748,True
Sodium Nitroprusside,CHEMBL136478,True
SKF83959 hydrobromide,,False
Butaclamol hydrochloride,CHEMBL1256753,True
Dequalinium chloride,CHEMBL121663,True
Pinaverium bromide,CHEMBL1909298,True
Benzalkonium chloride,CHEMBL502109,True
Palmatine,,False
Supercinnamaldehyde,,False
Chlorhexidine,CHEMBL790,True
Hydroxyprogesterone caproate,CHEMBL1200848,True
Nocodazole,CHEMBL9514,True
Triflupromazine hydrochloride,CHEMBL1201102,True
Oxcarbazepine,CHEMBL1068,True
Rizatriptan Benzoate,CHEMBL1201032,True
Fluvoxamine,CHEMBL814,True
Auraptene,CHEMBL307341,True
Cryptotanshinone,CHEMBL187460,True
Limonin,CHEMBL517449,True
Propantheline Bromide,CHEMBL1240,True
Ethotoin,CHEMBL1095,True
IMS2186,,False
Furosemide,CHEMBL35,True
Astemizole,CHEMBL296419,True
Nisoldipine,CHEMBL1726,True
Cinoxacin,CHEMBL1208,True
Perphenazine,CHEMBL567,True
Salsalate,CHEMBL154111,True
Scopolamine N-butylbromide,,False
Cefazolin sodium,CHEMBL1200523,True
Choline Chloride,CHEMBL282468,True
Tiapride Hydrochloride,CHEMBL1256772,True
Glutathione,CHEMBL1543,True
Zearalenone,CHEMBL454173,True
Scutellarein,CHEMBL55415,True
ISRIB,,False
